_id,PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
3160737,324046128,23169656,6,2023-10-25T00:01:00,"1300 Block Brookline Blvd Pittsburgh, PA 15226",N,Brookline,6,THEFT,3921 Theft by Unlawful Taking or Disposition.,3206,4,5,-80.01084971264898,40.392270468816726
3160738,324047518,23169672,6,2023-10-25T16:08:00,"200 Block 5th Ave Pittsburgh, PA 15222",N,Central Business District,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,201,6,6,-80.00207710815553,40.44123639882767
3160739,324049010,23169704,6,2023-10-23T08:00:00,"300 Block Lawn St Pittsburgh, PA 15213",N,South Oakland,4,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,409,6,3,-79.96364787813594,40.43445176795407
3160740,324050593,23169715,27,2023-10-25T16:10:00,"West End Cir & West End Brg Pittsburgh, PA 15220",N,South Shore,3,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1921,2,5,-80.02820285200693,40.444211092774715
3160741,324051941,23169780,11,2023-10-25T18:30:00,"4300 Block Winterburn Ave Pittsburgh, PA 15207",N,Greenfield,4,CREDIT CARDS,4106 Access Device Fraud,1517,5,3,-79.94008100727704,40.42107325420916
3160742,324055211,23169774,10,2023-10-25T18:20:00,"60 Block Olive St Pittsburgh, PA 15214",Y,Fineview,1,HARRASSMENT,2709(a) Harassment.,2509,6,1,-80.00846790103517,40.46440031117287
3160743,324056717,23169830,27,2023-10-25T19:48:00,"300 Block Mc Kee Pl Pittsburgh, PA 15213",N,Central Oakland,4,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,405,3,3,-79.95770638916257,40.438372088343165
3160744,324056732,23169816,27,2023-10-24T21:30:00,"6200 Block Penn Ave Pittsburgh, PA 15206",N,East Liberty,5,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1115,8,2,-79.92259331496999,40.46013933681722
3160745,324057324,23169839,6,2023-10-25T17:00:00,"100 Block Almond Way Pittsburgh, PA 15201",N,Central Lawrenceville,2,THEFT,3921 Theft by Unlawful Taking or Disposition.,901,,,,
3160746,324057420,23169838,11,2023-10-25T20:10:00,"4500 Block Centre Ave Pittsburgh, PA 15213",N,North Oakland,4,IDENTITY THEFT,4120 Identity Theft,507,8,3,-79.95304404664091,40.45139848911435
3160747,324060351,23169870,6,2023-10-25T20:55:00,"Northside Pittsburgh, PA 15212",N,South Oakland,1,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,409,,,NaN,NaN
3160748,324064888,23169925,29,2023-10-25T18:15:00,"1500 Block Buena Vista St Pittsburgh, PA 15212",N,Central North Side,1,RUNAWAYS - JUVENILE,029 Missing Juvenile,2503,6,1,-80.01454683255048,40.457016829237475
3160749,323382227,23164286,6,2023-10-16T09:30:00,"800 Block Wymore St Pittsburgh, PA 15220",N,Elliott,6,THEFT FROM AUTO,3934 Theft from Vehicle / 901 Criminal Attempt,2020,2,5,-80.04217917430283,40.4407837310399
3160750,323448912,23164722,10,2023-10-17T01:15:00,"4600 Block Liberty Ave Pittsburgh, PA 15224",Y,Bloomfield,5,SIMPLE ASSAULT,"2701 Simple Assault. / 6106 Firearms not to be Carried without a License. / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(31) Marijuana: Possession Small Amount / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(16) Possession of Controlled Substance / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b)",903,7,2,-79.95088539549452,40.462410694767215
3160751,323502548,23165037,10,2023-10-17T11:15:00,"5500 Block Centre Ave Pittsburgh, PA 15232",Y,Shadyside,4,TERRORISTIC THREATS,2706 Terroristic Threats.,709,8,2,-79.93645164728059,40.45657066874426
3160752,323537122,23164936,0,2023-10-17T11:59:00,"Eymard St & Frankstown Ave Pittsburgh, PA 15221",Y,East Hills,5,99,3742 Accidents Involving Death or Personal Injury / 1543 Driving While Operating Privilege is Suspended or Revoked. / 3736 Reckless Driving / 1785 Proof of Financial Responsibility Following Accident.,1306,9,2,-79.8731437108462,40.460434643511455
3160753,323658456,23166290,6,2023-10-19T16:00:00,"200 Block Stratford Ave Pittsburgh, PA 15206",N,Friendship,5,THEFT,3921 Theft by Unlawful Taking or Disposition.,807,7,2,-79.93282619775725,40.46210616710164
3160754,323658819,23166302,11,2023-10-19T15:00:00,"5400 Block Broad St Pittsburgh, PA 15206",N,Garfield,5,IDENTITY THEFT,4120 Identity Theft,1114,9,2,-79.93580716136063,40.46542010348031
3160755,-3523004564,23167216,6,2023-10-21T11:00:00,"700 Block 2nd Ave Pittsburgh, PA 15219",N,Bluff,2,THEFT,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake.",103,6,6,-79.99459104985328,40.435334670473395
3160756,323740095,23167259,99,2023-10-21T11:30:00,"400 Block Mt Pleasant Rd Pittsburgh, PA 15214",N,Northview Heights,1,MENTAL 201/302,9498 302 (Mental),2609,1,1,-80.00190476088557,40.479837220529895
3160757,323777352,23167794,6,2023-10-22T02:47:00,"90 Block Briggs St Pittsburgh, PA 15234",N,Overbrook,3,THEFT FROM AUTO,3934 Theft from Vehicle,3207,4,5,-80.00055144681936,40.38701646664512
3160758,324674899,23174941,6,2023-11-02T00:01:00,"100 Block Blakey Ct Pittsburgh, PA 15213",N,Terrace Village,2,THEFT FROM AUTO,3934 Theft from Vehicle,510,,,,
3160759,324676249,23174956,10,2023-11-02T20:24:00,"2400 Block Whited St Pittsburgh, PA 15226",N,Brookline,6,HARRASSMENT,2710 Ethnic Intimidation. / 2709 Harassment (Non-Specific),3206,4,5,-80.01260188420852,40.39459271383826
3160760,324676259,23174933,0,2023-11-03T15:00:00,"500 Block N Highland Ave Pittsburgh, PA 15206",N,East Liberty,5,99,9093 Indirect Criminal Contempt,1113,8,2,-79.92494548024085,40.453010595276815
3160761,324677877,23174984,11,2023-11-02T16:00:00,"2700 Block Queensboro Ave Pittsburgh, PA 15226",N,Brookline,6,THEFT BY DECEPTION,3922 Theft by Deception.,1918,4,5,-80.01881798945931,40.39038630875168
3160762,324685410,23175075,27,2023-11-03T19:15:00,"300 Block Marlow St Pittsburgh, PA 15220",N,Elliott,6,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2020,,,,
3160763,324686402,23168032,27,2023-10-22T20:36:00,"Sarah St & S 24th St Pittsburgh, PA 15203",Y,South Side Flats,3,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1609,3,3,-79.97143037193561,40.42729091014033
3160764,324688506,23175137,13,2023-11-03T21:21:00,"Frankstown Ave & Neuman Way Pittsburgh, PA 15221",Y,Homewood North,5,RECEIVING STOLEN PROPERTY,3925 Receiving Stolen Property.,1301,9,2,-79.88753701236806,40.45540749697775
3160765,324690146,23175187,18,2023-11-03T23:49:00,"1500 Block E Carson St Pittsburgh, PA 15203",Y,South Side Flats,3,STOLEN PROPERTY,13(a)(31) Marijuana: Possession Small Amount / 9501 Bench Warrant,1702,3,3,-79.98331001737412,40.42869280365664
3160766,324692058,23175234,23,2023-11-04T01:57:00,"1600 Block E Carson St Pittsburgh, PA 15203",Y,South Side Flats,3,PUBLIC DRUNKENESS,5505 Public Drunkenness / 5503 Disorderly Conduct. / 3503(b.1) Criminal Trespass - Simple Trespasser,1702,3,3,-79.9826498409866,40.42875471441499
3160767,324694345,23175240,10,2023-11-04T04:05:00,"100 Block Lytton Ave Pittsburgh, PA 15213",Y,North Oakland,4,SIMPLE ASSAULT,2706 Terroristic Threats. / 2701 Simple Assault. / 5104 Resisting Arrest or Other Law Enforcement. / 5505 Public Drunkenness / 5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE,403,8,3,-79.95463310157697,40.44610062015834
3160768,323101639,23161619,27,2023-10-11T12:20:00,"300 Block Halket St Pittsburgh, PA 15213",N,South Oakland,4,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,409,3,3,-79.960823450374,40.43697465467828
3160769,323202959,23162352,0,2023-10-12T17:25:00,"20 Block Grape St Pittsburgh, PA 15210",N,Knoxville,3,99,9993 PFA Service with Weapons Supplement,3001,3,5,-79.98937726675526,40.41375580104951
3160770,323208028,23162425,20,2023-10-12T15:40:00,"Browns Ave Pittsburgh, PA 15145",Y,Outside State,OSC,ENDANGER WELFARE OF CHILDREN,4304(a)(1) Endangering Welfare of Children.,7799,,,,
3160771,324553261,23173924,8,2023-11-01T19:38:00,"700 Block Ceres Way Pittsburgh, PA 15210",Y,Allentown,3,DANGEROUS BURNING,3301(d.1) Dangerous Burning,1803,3,5,-79.99581622789141,40.42324403505897
3160772,324559821,23174090,99,2023-11-02T04:08:00,"1000 Block Penn Ave Pittsburgh, PA 15222",Y,Central Business District,2,AIDED CASE,9497 Aided Case,201,6,6,-79.99489375503558,40.444227441414384
3160773,324572634,23174147,10,2023-11-02T06:39:00,"2200 Block Webster Ave Pittsburgh, PA 15219",N,Middle Hill,2,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",501,6,3,-79.97786699256748,40.44735455758375
3160774,324575568,23174142,99,2023-11-02T08:02:00,"1300 Block Brookline Blvd Pittsburgh, PA 15226",N,Brookline,6,FOUND PROPERTY,9489 Found Property,3206,4,5,-80.01084971264898,40.392270468816726
3160775,324576620,23174181,99,2023-10-31T17:30:00,"6300 Block Penn Ave Pittsburgh, PA 15206",N,East Liberty,5,LOST PROPERTY,9504 Lost Property,1115,,,,
3160776,324581629,23174182,99,2023-11-02T09:00:00,"1700 Block Bentley Dr Pittsburgh, PA 15219",N,Terrace Village,2,NON-VIOLENT DOMESTIC,9012 Non-Violent Domestic,511,,,,
3160777,324588803,23174254,0,2023-11-02T12:30:00,"400 Block Edgemnot St Pittsburgh, PA 15211",Y,Mount Washington,3,99,2709(a)(5) Harassment Communicates Repeatedly in Anonymous Manner,1807,3,5,-80.00059358678973,40.422256592670394
3160778,324594905,23174281,0,2023-11-02T13:25:00,"7100 Block Hamilton Ave Pittsburgh, PA 15208",N,Homewood South,5,99,9998 Overdose Other,1303,9,2,-79.8995940592214,40.455112431555634
3160779,-3698000211,23174350,99,2023-11-02T15:24:00,"700 Block Mercer St Pittsburgh, PA 15219",N,Crawford-Roberts,2,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),305,,,,
3160780,323230507,23162625,6,2023-10-13T07:00:00,"1500 Block Amanda St Pittsburgh, PA 15210",N,Carrick,3,THEFT,3921 Theft by Unlawful Taking or Disposition.,2902,4,3,-79.98843660700099,40.40088387870872
3160781,323238088,23162664,14,2023-10-13T07:15:00,"500 Block Shady Ave Pittsburgh, PA 15206",N,Shadyside,4,CRIM MISCHIEF,3304 Criminal Mischief.,706,8,2,-79.92191343554236,40.45424453594421
3160782,323243343,23162679,6,2023-10-13T08:30:00,"6800 Block Meade St Pittsburgh, PA 15208",N,Point Breeze North,4,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,1405,9,2,-79.90982494286273,40.452996202035116
3160783,323251321,23162693,6,2023-10-13T09:00:00,"5800 Block Beacon St Pittsburgh, PA 15217",N,Squirrel Hill South,4,THEFT,3921 Theft by Unlawful Taking or Disposition.,1408,5,3,-79.92279904355118,40.43475833239107
3160784,323262495,23162735,0,2023-10-11T00:01:00,"Smithfield St & 3rd Ave Pittsburgh, PA 15222",N,Central Business District,2,99,9999 9999 - (Misc. Incident): ,201,6,6,-79.99989132962422,40.438220057480564
3160785,323267253,23162797,10,2023-10-13T12:15:00,"900 Block Woodbine St Pittsburgh, PA 15201",N,Stanton Heights,5,HARRASSMENT,2709(a) Harassment.,1005,9,2,-79.94374382696802,40.47923769247399
3160786,323280676,23162884,10,2023-10-13T10:00:00,"6000 Block Broad St Pittsburgh, PA 15206",N,East Liberty,5,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",1115,,,,
3160787,323337613,23163942,99,2023-10-15T14:18:00,"6200 Block Penn Ave Pittsburgh, PA 15206",N,East Liberty,5,LOST PROPERTY,9504 Lost Property,1115,8,2,-79.92259331496999,40.46013933681722
3160788,323344420,23164038,5,2023-10-15T18:41:00,"900 Block Wilhelm St Pittsburgh, PA 15220",N,Elliott,6,BURGLARY,3502 Burglary.,2020,2,5,-80.03760953341691,40.444663098722145
3160789,323381689,23164287,6,2023-10-16T06:30:00,"1300 Block Hassler St Pittsburgh, PA 15220",N,Elliott,6,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2020,,,,
3160790,324012697,23169452,6,2023-10-25T08:30:00,"300 Block S Negley Ave Pittsburgh, PA 15232",N,East Liberty,5,THEFT,3921 Theft by Unlawful Taking or Disposition.,1115,7,2,-79.93276995610911,40.460631380148634
3160791,324187542,23170841,10,2023-10-27T12:27:00,"3800 Block Wind Gap Ave Pittsburgh, PA 15204",N,Windgap,6,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 3304 Criminal Mischief.",2807,2,5,-80.07872625324757,40.4582641291956
3160792,324205771,23171010,99,2023-10-27T17:00:00,"1600 Block Duffield St Pittsburgh, PA 15206",N,Morningside,5,MISSING PERSONS (18+),9490 Missing Persons (18 and Over),1014,7,2,-79.9304536463093,40.48288657635424
3160793,324681464,23174993,0,2023-11-03T17:06:00,"1200 Block Federal St N Pittsburgh, PA 15212",Y,Allegheny Center,1,99,9998 Overdose Other,2204,1,1,-80.00649196783617,40.45603437251375
3160794,324688467,23175154,10,2023-11-03T22:00:00,"300 Block E Elizabeth St Pittsburgh, PA 15207",N,Hazelwood,4,TERRORISTIC THREATS,2706 Terroristic Threats.,1515,5,3,-79.9472120826774,40.40656849017254
3160795,324693042,23175213,9,2023-11-04T00:49:00,"6600 Block Frankstown Ave Pittsburgh, PA 15206",Y,Larimer,5,TAMPER WITH/FAB PHYS EVIDENCE,"4910 Tampering with or Fabricating Physical Evidence. / 5104 Resisting Arrest or Other Law Enforcement. / 4106 Access Device Fraud / 6106 Firearms not to be Carried without a License. / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(31) Marijuana: Possession Small Amount / 9501 Bench Warrant / 6110.2 Possesion of Firearm with Altered Mfg. Number / 6110.1 Possesion of Firearm by Minor / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 3543 Pedestrians Crossing at Other Than Crosswalks.",1208,9,2,-79.9108728427252,40.45944023398032
3160796,324707450,23175430,6,2023-11-04T12:30:00,"2400 Block Allequippa St Pittsburgh, PA 15213",N,Terrace Village,2,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,510,,,,
3160797,324722914,23175729,14,2023-11-04T23:30:00,"100 Block Addison St Pittsburgh, PA 15219",N,Terrace Village,2,CRIM MISCHIEF,3304 Criminal Mischief.,511,,,,
3160798,324726088,23175814,18,2023-11-05T03:11:00,"Frankstown Ave & Brushton Ave Pittsburgh, PA 15221",Y,Homewood North,5,STOLEN PROPERTY,13(a)(31) Marijuana: Possession Small Amount / 3802(a)(1) DUI - General Impairment / 3332 Limitations on Turning Around.,1301,9,2,-79.88809638571746,40.45553443888364
3160799,-3545226520,23175864,99,2023-11-05T09:44:00,"100 Block Minooka St Pittsburgh, PA 15210",Y,Carrick,3,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),2901,4,3,-79.99228287256095,40.40349485028547
3160800,324771837,23176275,6,2023-11-06T06:30:00,"600 Block College St Pittsburgh, PA 15232",N,Shadyside,4,THEFT FROM AUTO,3934 Theft from Vehicle,705,,,,
3160801,324773608,23176281,6,2023-11-06T07:45:00,"100 Block Aaron Ave Pittsburgh, PA 15234",N,Overbrook,3,THEFT FROM AUTO,3934 Theft from Vehicle / 901 Criminal Attempt,3207,,,,
3160802,324775092,23176297,6,2023-11-06T07:45:00,"Lawn St & Ophelia St Pittsburgh, PA 15213",N,South Oakland,4,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,409,6,3,-79.96577404988031,40.435747647646096
3160803,323006737,23161055,0,2023-10-10T11:32:00,"100 Block Kirkpatrick St Pittsburgh, PA 15219",N,West Oakland,4,99,9134 Pedestrian Hit by Vehicle/Non-Reportable Accident,402,,,,
3160804,323162366,23162080,26,2023-10-14T07:30:00,"700 Block 2nd Ave Pittsburgh, PA 15219",Y,Bluff,3,MEGANS LAW VIOLATION,4915 Failure to Comply with Megans Law,103,6,6,-79.99459104985328,40.435334670473395
3160805,323162962,23162081,26,2023-10-13T12:00:00,"Homeless Pittsburgh, PA 15211",Y,Esplen,6,MEGANS LAW VIOLATION,4915 Failure to Comply with Megans Law,2017,,,,
3160806,-3574001967,23164487,10,2023-10-16T16:58:00,"600 Block Herron Ave Pittsburgh, PA 15219",Y,Middle Hill,2,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",501,6,3,-79.96495495035497,40.45093470257497
3160807,323439050,23164594,99,2023-10-16T17:30:00,"300 Block Mt Pleasant Rd Pittsburgh, PA ",N,Northview Heights,1,MISCELLANEOUS INVESTIGATION,9129 Miscellaneous Investigation,2609,,,,
3160808,323444981,23164642,0,2023-10-16T21:01:00,"East St & Mt Pleasant Rd Pittsburgh, PA 15214",Y,Perry North,1,DUI - GENERAL IMPAIRMENT,3311 Driving on Divided Highways. / 1501 Drivers Required to be Licensed. / 3714 Careless Driving / 3802(a)(1) DUI - General Impairment / 3736 Reckless Driving / 1543 Driving While Operating Privilege is Suspended or Revoked.,2607,1,1,-80.00597928229855,40.4823663777633
3160809,323447751,23164749,10,2023-10-17T02:35:00,"Lakewood St & Milford Way Pittsburgh, PA 15220",N,Elliott,6,SIMPLE ASSAULT,2701 Simple Assault.,2020,2,5,-80.04149175617711,40.44919767730453
3160810,-3530573617,23170046,14,2023-10-26T07:30:00,"Holt St Pittsburgh, PA 15203",N,South Side Slopes,3,CRIM MISCHIEF,3304 Criminal Mischief.,1608,3,3,-79.97284988235128,40.42215211998202
3160811,324094738,23170152,0,2023-10-26T11:00:00,"800 Block Norwich Ave Pittsburgh, PA 15226",N,Brookline,6,99,9994 PFA Service,1918,4,5,-80.0245087705241,40.391245082776834
3160812,324098460,23170155,0,2023-10-26T11:15:00,"200 Block Fairview Ave East Pittsburgh, PA 15112",N,Outside City,OSC,99,9994 PFA Service,5599,,,,
3160813,324100063,23170197,0,2023-10-26T11:45:00,"200 Block Radcliffe St Pittsburgh, PA 15204",N,Esplen,6,99,9994 PFA Service,2017,2,5,-80.05543929851835,40.46282663305655
3160814,324105228,23170220,0,2023-10-26T12:00:00,"300 Block Cape May Ave Pittsburgh, PA 15216",N,Beechview,6,99,9993 PFA Service with Weapons Supplement,1916,4,5,-80.02081109245711,40.409943994657674
3160815,324113589,23170219,17,2023-10-26T12:28:00,Zone 5,N,,5,SEXUAL ASSAULT,3124.1 Sexual Assault,,,,,
3160816,324116969,23170237,6,2023-10-26T13:00:00,"500 Block Mt Pleasant Rd Pittsburgh, PA 15214",N,Northview Heights,1,THEFT,3921 Theft by Unlawful Taking or Disposition.,2609,,,,
3160817,324117551,23170128,29,2023-10-26T10:15:00,"300 Block Cedar Ave Pittsburgh, PA 15212",N,East Allegheny,1,RUNAWAYS - JUVENILE,029 Missing Juvenile,2304,1,1,-80.00090780760613,40.450893557101246
3160818,324122955,23170319,0,2023-10-26T15:26:00,"East Commons St & East Ohio St Pittsburgh, PA 15212",N,Allegheny Center,1,99,9998 Overdose Other,2204,,,,
3160819,324128527,23170426,4,2023-10-26T15:37:00,"600 Block Brookline Blvd Pittsburgh, PA 15226",Y,Brookline,6,AGG-ASSAULT,2702 Aggravated Assault. / 5101 Obstructing Admin. of Law ,1918,4,5,-80.02241906841608,40.39525135526513
3160820,323389743,23164344,99,2023-10-16T11:45:00,"600 Block Liberty Ave Pittsburgh, PA 15222",N,Central Business District,2,FOUND PROPERTY,9489 Found Property,201,6,6,-80.00162376467925,40.441780954713906
3160821,323390425,23164345,99,2023-10-16T11:45:00,"600 Block Liberty Ave Pittsburgh, PA 15222",N,Central Business District,2,FOUND PROPERTY,9489 Found Property,201,6,6,-80.00162376467925,40.441780954713906
3160822,323856571,23168363,0,2023-10-23T13:00:00,"2000 Block Centre Ave Pittsburgh, PA 15219",N,Crawford-Roberts,2,99,9994 PFA Service,305,6,3,-79.97998240539275,40.44358891030736
3160823,323872171,23168472,0,2023-10-23T12:00:00,"200 Block N N Beatty St Pittsburgh, PA 15206",N,East Liberty,5,99,9993 PFA Service with Weapons Supplement,1115,,,,
3160824,323873433,23168491,0,2023-10-23T11:00:00,"5000 Block Columbo St Pittsburgh, PA 15224",N,Garfield,5,99,9993 PFA Service with Weapons Supplement,1016,,,,
3160825,323875232,23168516,0,2023-10-23T12:10:00,"800 Block E Warrington Ave Pittsburgh, PA 15210",N,Allentown,3,99,9999 9999 - (Misc. Incident): ,1803,3,5,-79.99370505437578,40.42180225515111
3160826,323945359,23168848,18,2023-10-24T10:00:00,"1200 Block Yetta Ave Pittsburgh, PA 15212",Y,Spring Hill-City View,1,STOLEN PROPERTY - OTHER,13(a)(32) Paraphernalia - Use or Possession / 13(a)(16) Possession of Controlled Substance,2620,1,1,-79.9930113082597,40.46320400557093
3160827,323975608,23169204,6,2023-10-24T18:00:00,"3700 Block Brighton Rd Pittsburgh, PA 15212",N,Brighton Heights,1,THEFT,3921 Theft by Unlawful Taking or Disposition.,2708,1,1,-80.03519808011238,40.48325452805599
3160828,323994616,23161288,6,2023-10-10T18:00:00,"600 Block 1st Ave Pittsburgh, PA 15219",Y,California-Kirkbride,2,THEFT,3921 Theft by Unlawful Taking or Disposition. / 3925 Receiving Stolen Property.,201,6,6,-79.99688178462712,40.43480407292362
3160829,324700395,23174920,10,2023-11-03T15:00:00,"700 Block Mellon St Pittsburgh, PA 15206",N,Highland Park,5,HARRASSMENT,2709 Harassment (Non-Specific),1102,,,,
3160830,324703961,23175365,0,2023-11-04T10:16:00,"200 Block Peach St Erie, PA 16509",N,Outside City,OSC,99,9094 Recovered Stolen Vehicle (OUTSIDE CITY),5599,,,,
3160831,324711511,23175464,18,2023-11-04T14:13:00,"400 Block Blvd Of The Allies Pittsburgh, PA 15219",Y,Central Business District,2,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 9501 Bench Warrant,201,,,,
3160832,324715767,23175566,99,2023-11-04T17:49:00,"2100 Block Park Hill Dr Pittsburgh, PA 15221",Y,East Hills,5,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,1306,9,2,-79.87406755546291,40.45320444634244
3160833,324715775,23175547,0,2023-11-04T17:30:00,"1000 Block Wheeler St Pittsburgh, PA 15221",N,Homewood North,5,99,9999 9999 - (Misc. Incident): ,1301,9,2,-79.88451391990868,40.45768103919456
3160834,323035334,23161038,0,2023-10-10T11:03:00,"3500 Block Allendale Cir Pittsburgh, PA 15204",N,Sheraden,6,99,9999 9999 - (Misc. Incident): Towed Vehicle,2022,2,5,-80.06435846385172,40.45886738532131
3160835,323228938,23162622,0,2023-10-13T06:53:00,"7100 Block Tilden St Pittsburgh, PA 15206",N,Lincoln-Lemington-Belmar,5,99,9999 9999 - (Misc. Incident): ,1202,9,2,-79.89493482037162,40.464849952137456
3160836,323267833,23162778,6,2023-10-13T12:00:00,"2100 Block Vodeli St Pittsburgh, PA 15216",N,Beechview,6,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,1920,4,5,-80.02828273274952,40.4050532333116
3160837,323328706,23163847,99,2023-10-15T09:30:00,"2400 Block E Carson St Pittsburgh, PA 15203",N,South Side Flats,3,FOUND PROPERTY,9489 Found Property,1609,3,3,-79.97086068651069,40.42788269881993
3160838,323331605,23163877,0,2023-10-15T11:21:00,"Bizet St & N Charles St Pittsburgh, PA 15214",N,Perry South,1,99,9998 Overdose Other,2615,6,1,-80.019775262305,40.466464736159054
3160839,323341747,23164005,6,2023-10-15T17:23:00,"400 Block N Taylor Ave Pittsburgh, PA 15212",N,Central North Side,1,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2206,1,1,-80.01127238286466,40.45676308331648
3160840,324621143,23174439,17,2023-11-02T18:17:00,"Colwell St & Dinwiddie St Pittsburgh, PA 15219",Y,Crawford-Roberts,2,OPEN LEWDNESS,5901 Open Lewdness. / 13(a)(32) Paraphernalia - Use or Possession,305,6,3,-79.98072576800557,40.43905499671826
3160841,324625307,23174536,0,2023-11-02T21:45:00,"200 Block Joyce Ter Pittsburgh, PA 15207",N,Hazelwood,4,99,9994 PFA Service,1515,,,,
3160842,324629735,23174595,6,2023-11-02T23:45:00,"Fulton St & Page St Pittsburgh, PA 15233",N,Manchester,1,THEFT FROM AUTO,3934 Theft from Vehicle,2107,6,1,-80.02385993486092,40.45160466353328
3160843,324632680,23171301,27,2023-10-28T03:45:00,"400 Block Ormsby St Pittsburgh, PA 15210",Y,Mount Oliver,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1607,3,3,-79.98162323951387,40.412632050651965
3160844,324652675,23174786,14,2023-11-03T10:00:00,"2800 Block Penn Ave Pittsburgh, PA 15222",N,Strip District,2,CRIM MISCHIEF,3304 Criminal Mischief.,203,7,6,-79.97522516855234,40.45685224474889
3160845,324673641,23174883,6,2023-11-03T13:17:00,"600 Block Smithfield St Pittsburgh, PA 15222",Y,Central Business District,2,RETSIL THEFT (SHOPLIFTING),"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise / 13(a)(32) Paraphernalia - Use or Possession / 9501 Bench Warrant",201,6,6,-79.99740883167522,40.441533222252524
3160846,324675703,23174439,17,2023-11-02T18:17:00,"Colwell St & Dinwiddie St Pittsburgh, PA 15219",Y,Crawford-Roberts,2,OPEN LEWDNESS,5901 Open Lewdness. / 13(a)(32) Paraphernalia - Use or Possession,305,6,3,-79.98072576800557,40.43905499671826
3160847,324687729,23175114,6,2023-11-03T20:45:00,"4600 Block Centre Ave Pittsburgh, PA 15213",N,North Oakland,4,THEFT,3921 Theft by Unlawful Taking or Disposition.,507,6,3,-79.95199168900636,40.451909654279476
3160848,322996070,23161076,27,2023-10-10T11:15:00,"200 Block Fisk St Pittsburgh, PA 15201",N,Central Lawrenceville,2,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,902,7,2,-79.96153266598745,40.46927233290549
3160849,323026666,23161145,0,2023-10-10T15:00:00,"800 Block Mc Lain St Pittsburgh, PA 15210",N,Allentown,3,99,9999 9999 - (Misc. Incident): ,1803,,,,
3160850,323037407,23161226,6,2023-10-10T17:00:00,"2200 Block Spring St Pittsburgh, PA 15210",Y,Arlington,3,THEFT,3921 Theft by Unlawful Taking or Disposition.,1603,3,3,-79.97602585677956,40.41625450648034
3160851,323412875,23164326,3,2023-10-16T11:10:00,"Nash St & Lockhart St Pittsburgh, PA 15212",Y,East Allegheny,1,ROBBERY,3701 Robbery. / 3702 Robbery of Motor Vehicle. / 3921(a) Theft by Unlawful Taking or Disposition - Movable item / 2701 Simple Assault.,2304,1,1,-79.9978794897228,40.452814257752934
